image_name,method,run_type,blur_score,contrast_score,tiny_object_fraction,num_objects_pred,median_object_area,is_blurry,is_low_contrast,has_many_tiny_objects
072ff14c1d3245bf49ad6f1d4c71cdb18f1cb78a8e06fd2f53767e28f727cb81.png,watershed,initial,0.0016839054385546603,0.07721706420729889,0.0,6,172.0,True,False,False
06c779330d6d3447be21df2b9f05d1088f5b3b50dc48724fc130b1fd2896a68c.png,watershed,initial,0.00228022104050146,0.18321359337393964,0.0,22,1558.0,True,False,False
06350c7cc618be442c15706db7a68e91f313758d224de4608f9b960106d4f9ca.png,watershed,initial,0.00023341936383928575,0.07779888797278925,0.0,15,182.0,True,False,False
05a8f65ebd0b30d3b210f30b4d640c847c2e710d0d135e0aeeaccbe1988e3b6e.png,watershed,initial,0.0018323138981645867,0.11677821702603651,0.0,20,100.5,True,False,False
0532c64c2fd0c4d3188cc751cdfd566b1cfba3d269358717295bab1504c7c275.png,watershed,initial,0.004168333846311687,0.20012168250096032,0.0,19,1402.0,True,False,False
05040e2e959c3f5632558fc9683fec88f0010026c555b499066346f67fdd0e13.png,watershed,initial,0.0021582404148692384,0.11042348548318917,0.0,22,214.5,True,False,False
04acab7636c4cf61d288a5962f15fa456b7bde31a021e5deedfbf51288e4001e.png,watershed,initial,0.000985272891739744,0.14096566206804148,0.0,61,122.0,True,False,False
0402a81e75262469925ea893b6706183832e85324f7b1e08e634129f5d522cdd.png,watershed,initial,0.0026498228707642736,0.16385256326758502,0.0,63,186.0,True,False,False
03f583ec5018739f4abb9b3b4a580ac43bd933c4337ad8877aa18b1dfb59fc9a.png,watershed,initial,0.004919480291101914,0.2251735289328231,0.0,16,1869.5,True,False,False
03b9306f44e9b8951461623dcbd615550cdcf36ea93b203f2c8fa58ed1dffcbe.png,watershed,initial,0.002676303273669671,0.17401436402535256,0.0,17,1847.0,True,False,False
03398329ced0c23b9ac3fac84dd53a87d9ffe4d9d10f1b5fe8df8fac12380776.png,watershed,initial,0.0009735526863806748,0.0944571412863601,0.0,8,103.0,True,False,False
02903040e19ddf92f452907644ad3822918f54af41dd85e5a3fe3e1b6d6f9339.png,watershed,initial,0.0029983121796913863,0.19705786286849142,0.0,18,1521.0,True,False,False
0287e7ee5b007c91ae2bd7628d09735e70496bc6127ecb7f3dd043e04ce37426.png,watershed,initial,0.0005069421838831018,0.11576871638201208,0.0,35,259.0,True,False,False
0280fa8f60f6bcae0f97d93c28f60be194f9309ff610dc5845e60455b0f87c21.png,watershed,initial,0.0006756560483455823,0.04949640859872942,0.0,14,227.0,True,True,False
01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf.png,watershed,initial,0.00027887943104187336,0.12047633444183195,0.0,1,76133.0,True,False,False
0121d6759c5adb290c8e828fc882f37dfaf3663ec885c663859948c154a443ed.png,watershed,initial,0.0007913505098433992,0.23662462468998113,0.0,1,59950.0,True,False,False
00ae65c1c6631ae6f2be1a449902976e6eb8483bf6b0740d00530220832c6d3e.png,watershed,initial,0.0009470108182488065,0.29084093359326707,0.0,1,55175.0,True,False,False
003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1.png,watershed,initial,0.00046486990251812547,0.06144153897376571,0.0,33,132.0,True,False,False
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552.png,watershed,initial,0.0005316813030204604,0.10769442333368096,0.0,17,219.0,True,False,False
00ae65c1c6631ae6f2be1a449902976e6eb8483bf6b0740d00530220832c6d3e.png,watershed,rerun,0.0009470108182488065,0.29084093359326707,0.3333333333333333,3,22.0,True,False,True
0121d6759c5adb290c8e828fc882f37dfaf3663ec885c663859948c154a443ed.png,watershed,rerun,0.0007913505098433992,0.23662462468998113,0.0,2,30039.5,True,False,False
01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf.png,watershed,rerun,0.00027887943104187336,0.12047633444183195,0.0,1,76189.0,True,False,False
